property_id,property_type,submarket,building_sf,year_built,occupancy,noi,market_rent,in_place_rent,going_in_cap,opex_ratio,walt,tenant_concentration,capex_need,property_quality,units,primary_risk,employment_density,treasury_rate,market_vacancy,property_name,asking_price,debt_rate,max_ltv,amortization_years,data_tag
OC-OFFI-86,Office,Anaheim,196764,1973,0.754,3.1539,2.686,2.672,0.0625,0.327,2.5,0.115,1.0029,0.567,,Market / Lease-up Risk,950.98,0.053,0.133,Huntington Beach Executive Suites 3,50.4624,0.065,0.6,25,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-OFFI-90,Office,Irvine,97391,1959,0.89,1.2651,2.25,2.272,0.075,0.431,2.6,0.524,0.4635,0.148,,Market / Lease-up Risk,1393.94,0.053,0.133,Tustin Office Village 3,16.868,0.0699,0.6,25,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-OFFI-94,Office,Newport Beach,129036,1967,0.78,2.3328,3.417,3.348,0.0657,0.405,5.1,0.372,1.0359,0.434,,Market / Lease-up Risk,5400.0,0.053,0.133,Fullerton Business Center 3,35.5068,0.0652,0.6,25,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-OFFI-98,Office,Orange,166186,1955,0.813,2.7507,2.756,2.653,0.0695,0.352,5.3,0.428,0.9956,0.274,,Market / Lease-up Risk,1148.15,0.053,0.133,Jamboree Office Plaza 4,39.5784,0.0663,0.6,25,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-RETA-04,Retail,Anaheim,96152,1965,0.914,1.7887,2.825,2.726,0.0646,0.368,3.4,0.341,0.4239,0.385,,Market / Lease-up Risk,950.98,0.053,0.065,Costa Mesa Retail Row,27.6889,0.0634,0.65,25,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-RETA-08,Retail,Irvine,107699,1994,0.939,2.8496,3.423,3.393,0.068,0.3,3.2,0.594,1.2307,0.781,,Market / Lease-up Risk,1393.94,0.053,0.065,Fullerton Marketplace,41.9059,0.0641,0.65,25,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-RETA-100,Retail,Orange,133203,1965,0.889,1.922,2.289,2.301,0.0604,0.378,3.6,0.004,0.1745,0.233,,Market / Lease-up Risk,1148.15,0.053,0.065,Costa Mesa Retail Row 4,31.8212,0.065,0.65,25,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-RETA-104,Retail,Santa Ana,146887,1985,0.924,2.8126,2.806,2.811,0.0683,0.372,5.2,0.535,1.3542,0.781,,Market / Lease-up Risk,2296.3,0.053,0.065,Fullerton Marketplace 4,41.1801,0.068,0.65,25,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-RETA-108,Retail,Costa Mesa,44249,1977,0.898,0.9225,3.104,3.134,0.0639,0.364,4.7,0.395,0.4127,0.682,,Market / Lease-up Risk,3250.0,0.053,0.065,Irvine Spectrum Retail Pad 4,14.4366,0.0666,0.65,25,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-RETA-112,Retail,Fullerton,146529,1969,0.917,2.7346,2.861,2.949,0.0684,0.376,4.2,0.123,1.2428,0.319,,Market / Lease-up Risk,1500.0,0.053,0.065,Anaheim Plaza Retail 4,39.9795,0.0678,0.65,25,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-RETA-116,Retail,Anaheim,134428,1982,0.919,2.9665,3.426,3.353,0.0597,0.404,2.6,0.576,1.4425,0.584,,Market / Lease-up Risk,950.98,0.053,0.065,Garden Grove Shopping Center 4,49.6901,0.0662,0.65,25,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-RETA-12,Retail,Newport Beach,135318,1986,0.943,3.5147,3.522,3.627,0.0626,0.335,2.2,0.596,0.8157,0.775,,Market / Lease-up Risk,5400.0,0.053,0.065,Irvine Spectrum Retail Pad,56.1454,0.0665,0.65,25,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-RETA-120,Retail,Irvine,73973,1967,0.966,1.5887,3.033,3.0,0.0619,0.357,3.4,0.285,0.3523,0.412,,Market / Lease-up Risk,1393.94,0.053,0.065,Santa Ana Retail Commons 4,25.6656,0.0659,0.65,25,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-RETA-16,Retail,Orange,86933,1957,0.957,1.053,2.015,2.076,0.066,0.449,4.5,0.083,0.2615,0.21,,Market / Lease-up Risk,1148.15,0.053,0.065,Anaheim Plaza Retail,15.9545,0.0671,0.65,25,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-RETA-20,Retail,Santa Ana,64648,1963,0.881,1.1565,3.147,3.061,0.0622,0.434,2.7,0.165,0.3559,0.385,,Market / Lease-up Risk,2296.3,0.053,0.065,Garden Grove Shopping Center,18.5932,0.0672,0.65,25,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-RETA-24,Retail,Costa Mesa,46497,1973,0.893,0.6861,2.308,2.37,0.0632,0.372,5.4,0.235,0.2846,0.364,,Market / Lease-up Risk,3250.0,0.053,0.065,Santa Ana Retail Commons,10.856,0.0638,0.65,25,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-RETA-28,Retail,Fullerton,55281,1983,0.929,1.1898,2.976,2.989,0.0668,0.338,4.4,0.905,0.4008,0.823,,Market / Lease-up Risk,1500.0,0.053,0.065,Newport Beach Retail Corner,17.8114,0.0651,0.65,25,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-RETA-32,Retail,Anaheim,114952,1981,0.887,2.254,2.892,2.994,0.0611,0.35,3.1,0.297,0.7186,0.711,,Market / Lease-up Risk,950.98,0.053,0.065,Tustin Village Shops,36.8903,0.0637,0.65,25,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-RETA-36,Retail,Irvine,53592,1973,0.92,1.3678,4.146,4.036,0.0617,0.431,3.7,0.043,0.185,0.603,,Market / Lease-up Risk,1393.94,0.053,0.065,Costa Mesa Retail Row 2,22.1686,0.0681,0.65,25,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-RETA-40,Retail,Newport Beach,32426,1959,0.898,0.5732,3.024,2.922,0.0617,0.429,4.2,0.541,0.211,0.185,,Market / Lease-up Risk,5400.0,0.053,0.065,Fullerton Marketplace 2,9.2901,0.0639,0.65,25,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-RETA-44,Retail,Orange,107411,1993,0.932,2.8719,3.922,3.829,0.0657,0.378,2.0,0.579,0.4509,0.798,,Market / Lease-up Risk,1148.15,0.053,0.065,Irvine Spectrum Retail Pad 2,43.7123,0.0639,0.65,25,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-RETA-48,Retail,Santa Ana,113147,1983,0.88,2.3208,2.86,2.801,0.0611,0.307,2.6,0.316,0.5574,0.792,,Market / Lease-up Risk,2296.3,0.053,0.065,Anaheim Plaza Retail 2,37.9836,0.068,0.65,25,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-RETA-52,Retail,Costa Mesa,78493,1959,0.963,1.5489,3.026,3.082,0.0596,0.406,3.5,0.111,0.6997,0.307,,Market / Lease-up Risk,3250.0,0.053,0.065,Garden Grove Shopping Center 2,25.9883,0.0651,0.65,25,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-RETA-56,Retail,Fullerton,36380,1972,0.908,0.6574,2.848,2.792,0.066,0.387,3.9,0.168,0.0718,0.482,,Market / Lease-up Risk,1500.0,0.053,0.065,Santa Ana Retail Commons 2,9.9606,0.0671,0.65,25,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-RETA-60,Retail,Anaheim,148997,1992,0.88,3.7594,3.958,3.878,0.0628,0.384,5.9,0.127,1.3943,0.869,,Market / Lease-up Risk,950.98,0.053,0.065,Newport Beach Retail Corner 2,59.8631,0.0648,0.65,25,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-RETA-64,Retail,Irvine,135332,1955,0.962,3.4646,3.438,3.397,0.066,0.321,4.3,0.208,0.8756,0.183,,Market / Lease-up Risk,1393.94,0.053,0.065,Tustin Village Shops 2,52.4939,0.066,0.65,25,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-RETA-68,Retail,Newport Beach,59944,1964,0.895,0.9218,2.223,2.239,0.0666,0.322,5.5,0.181,0.2988,0.252,,Market / Lease-up Risk,5400.0,0.053,0.065,Costa Mesa Retail Row 3,13.8408,0.0664,0.65,25,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-RETA-72,Retail,Orange,147772,1986,0.939,3.1419,3.314,3.435,0.0639,0.419,4.0,0.321,1.6806,0.609,,Market / Lease-up Risk,1148.15,0.053,0.065,Fullerton Marketplace 3,49.169,0.0632,0.65,25,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-RETA-76,Retail,Santa Ana,132220,1962,0.901,3.1716,3.992,3.93,0.064,0.415,4.9,0.572,0.6688,0.352,,Market / Lease-up Risk,2296.3,0.053,0.065,Irvine Spectrum Retail Pad 3,49.5562,0.0674,0.65,25,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-RETA-80,Retail,Costa Mesa,33083,1969,0.97,0.6748,3.164,3.118,0.0611,0.417,3.9,0.107,0.2143,0.424,,Market / Lease-up Risk,3250.0,0.053,0.065,Anaheim Plaza Retail 3,11.0442,0.0663,0.65,25,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-RETA-84,Retail,Fullerton,43035,1980,0.963,0.8305,2.903,2.917,0.063,0.413,5.5,0.221,0.4322,0.521,,Market / Lease-up Risk,1500.0,0.053,0.065,Garden Grove Shopping Center 3,13.1825,0.0659,0.65,25,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-RETA-88,Retail,Anaheim,106538,1992,0.941,2.4108,3.632,3.573,0.0681,0.437,4.1,0.022,0.4029,0.759,,Market / Lease-up Risk,950.98,0.053,0.065,Santa Ana Retail Commons 3,35.4009,0.0646,0.65,25,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-RETA-92,Retail,Irvine,127455,1971,0.928,2.5964,3.076,2.991,0.0595,0.374,4.8,0.46,0.6786,0.4,,Market / Lease-up Risk,1393.94,0.053,0.065,Newport Beach Retail Corner 3,43.637,0.0685,0.65,25,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
OC-RETA-96,Retail,Newport Beach,134304,1979,0.91,3.4425,3.778,3.65,0.0677,0.346,3.6,0.121,1.5593,0.496,,Market / Lease-up Risk,5400.0,0.053,0.065,Tustin Village Shops 3,50.8493,0.0639,0.65,25,REAL PUBLIC CONTEXT / SYNTHETIC OPERATING CASE
